cited_person_clean,wikidata_id,wikidata_label,cited_gender
Guy Ducoloné,Q3121742,Guy Ducoloné,male
Jacqueline Chonavel,Q3157694,Jacqueline Chonavel,female
Jean-Claude Abrioux,Q1684732,Jean-Claude Abrioux,male
Robert-André Vivien,Q3434350,Robert-André Vivien,male
Jean-Paul Bachy,Q3168349,Jean-Paul Bachy,male
Georges Didier,Q104621419,Georges Didier,male
René Join,,,unknown
Jean-Louis Debré,Q713235,Jean-Louis Debré,male
Robert Cazalet,Q3434756,Robert Cazalet,male
. Chirac,,,unknown
Jacques Badet,Q3158176,Jacques Badet,male
Henri Houdouin,Q3131281,Henri Houdouin,male
Claude Biwer,Q2977023,Claude Biwer,male
Charles Baur,Q2958495,Charles Baur,male
Jacques Becq,Q3158226,Jacques Becq,male
Jacques Jouve,Q16467636,Jacques Jouve,male
Jean Rosselot,Q3174423,Jean Rosselot,male
Serge Dassault,Q981270,Serge Dassault,male
Marie-France Stirbois,Q3291817,Marie-France Stirbois,female
Pierre Tabanou,Q3387060,Pierre Tabanou,male
Charles Fiterman,Q2959067,Charles Fiterman,male
Hyacinthe Santoni,Q3143601,Hyacinthe Santoni,male
Jean Sango,,,unknown
Marcel Dehoux,Q3288862,Marcel Dehoux,male
Marc Fromion,Q16026791,Marc Fromion,male
Arthur Paecht,Q2865277,Arthur Paecht,male
Henri Nallet,Q1108317,Henri Nallet,male
Bruno Mégret,Q993611,Bruno Mégret,male
Maurice Alloncle,,,unknown
Bernard Bosson,Q2897580,Bernard Bosson,male
Jacques Masdeu-Arus,Q3159512,Jacques Masdeu-Arus,male
Michel Pelchat,Q3310540,Michel Pelchat,male
Gilbert Garnier,Q3105722,Gilbert Garnier,male
Rancillon Jean,,,unknown
Maurice Brugnon,Q3300496,Maurice Brugnon,male
Hector Rolland,Q3129278,Hector Rolland,male
Gabriel Péronnet,Q3093922,Gabriel Péronnet,male
Pierre Bernard-Reymond,Q3383943,Pierre Bernard-Reymond,male
Virgile Barel,Q3560609,Virgile Barel,male
Joseph Fontanet,Q325235,Joseph Fontanet,male
. Giscard D'Estaing,,,unknown
Marcel Tassy,Q16798564,Marcel Tassy,male
Pierre Gabert,Q65582365,Pierre Gabert,male
Robert Poujade,Q3088070,Robert Poujade,male
Claude Michel,Q2979538,Clodion,male
Bernard Deschamps,Q2897779,Bernard Deschamps,male
André Rouvière,Q522609,André Rouvière,male
Fernand Montagnon,,,unknown
Henri Emmanuelli,Q1347791,Henri Emmanuelli,male
Jean Delobel,Q3171647,Jean Delobel,male
Georges Cacheux,,,unknown
Bernard Lebas,Q16798501,Bernard Lebas,male
Jean Sylla,Q3174710,Jean Sylla,male
Francis Geng,Q3081453,Francis Geng,male
André Delehedde,Q2847618,André Delehedde,male
René Bailleux,,,unknown
Antoine Gissinger,Q2854004,Antoine Gissinger,male
Gilbert Mitterrand,Q1524023,Gilbert Mitterrand,male
Marcel Houël,Q3289038,Marcel Houël,male
Henri Derrien,Q3130959,Henri Derrien,male
Jean De Préaumont,Q3175651,Jean de Préaumont,male
Jean Wlos,Q101541852,Jean Wlos,male
Louis Baillot,Q3261158,Louis Baillot,male
Pierre Dabezies,Q3384597,Pierre Dabezies,male
Daniel Colliard,Q3013872,Daniel Colliard,male
Alain Robert,Q4705673,Alain Robert,male
René Lamps,Q3426463,René Lamps,male
Claude Lemoine,Q2977701,Claude Lemoine,male
Albert Mamy,Q2831376,Albert Mamy,male
Marcel Bayle,Q16662880,Marcel Bayle,male
Maurice Lemaire,Q2447029,Maurice Lemaire,male
Roger Combrisson,Q3438823,Roger Combrisson,male
Jacques Brunhes,Q3158419,Jacques Brunhes,male
Alain Madelin,Q582101,Alain Madelin,male
Jean Le Garrec,Q3173078,Jean Le Garrec,male
Claude Weber,Q13426248,Claude Weber,male
Jean Maire,Q1404434,Jean Mairet,male
François Massot,Q3085328,François Massot,male
Louise Moreau,Q3263799,Louise Moreau,female
Régis Perbet,Q3455770,Régis Perbet,male
Gérard Furnon,,,unknown
Bernard Jacquier,Q42315015,Bernard Jacquier,male
Jean-François Deniau,Q662406,Jean-François Deniau,male
Pierre Pasquiou,,,unknown
Louis Goasduff,,,unknown
Charles Miossec,Q2959830,Charles Miossec,male
Yves Marchand,Q3573821,Yves Marchand,male
Jacques Durand,Q3158821,Jacques Durand,male
Jean-Paul Chanteguet,Q3168410,Jean-Paul Chanteguet,male
Jacques Douffiagues,Q3158766,Jacques Douffiagues,male
Charles Fèvre,Q2959143,Charles Fèvre,male
Président Giscard D'Estaing,,,unknown
Christian Poncelet,Q714774,Christian Poncelet,male
Roger-Gérard Schwartzenberg,Q3438605,Roger-Gérard Schwartzenberg,male
Jean-Pierre Michel,Q3169573,Jean-Pierre Michel,male
Alain Le Vern,Q2830013,Alain Le Vern,male
Maxime Gremetz,Q3302581,Maxime Gremetz,male
Jacques Limouzy,Q3159399,Jacques Limouzy,male
Jean Gatel,Q3172239,Jean Gatel,male
Roland Mazoin,Q3440173,Roland Mazoin,male
Alain Aubert,Q65563991,Alain Aubert,male
Robert Villani,Q114423782,Robert Villani,male
Jean-Pierre Ousty,,,unknown
Bruno Bourg-Broc,Q2926662,Bruno Bourg-Broc,male
Noël Josephe,Q3345836,Noël Josèphe,male
Daniel Hoeffel,Q3014177,Daniel Hoeffel,male
Jean Rigaud,Q3174326,Jean Rigaud,male
Jacques Toubon,Q1379752,Jacques Toubon,male
André Borel,Q2847335,André Borel,male
Jacques Oudot,Q3159695,Jacques Oudot,male
Claude Bartolone,Q1096496,Claude Bartolone,male
Gérard Renaudo,,,unknown
Roland Blum,Q787494,Roland Blum,male
Daniel Pennec,Q2379535,Daniel Pennec,male
Roger Léron,Q16026929,Roger Léron,male
Jacques Blanc,Q3158295,Jacques Blanc,male
Michel Delebarre,Q129774,Michel Delebarre,male
René Couanau,Q3426037,René Couanau,male
Jean-Pierre Philibert,Q3169640,Jean-Pierre Philibert,male
Bernard Kouchner,Q206327,,male
François Fillon,Q101410,François Fillon,male
Dominique Paumier,,,unknown
Marc Le Fur,Q3288193,Marc Le Fur,male
Général Lacaze,,,unknown
Jean-Louis Borloo,Q467781,Jean-Louis Borloo,male
Jacques Medecin,Q3159629,Jacques Médecin,male
Monsieur Marchais,,,unknown
Marcel Pujol,Q3289315,Marcel Pujol,male
André Malraux,Q151164,André Malraux,male
Charles-Emile Loo,Q16026933,Charles-Émile Loo,male
René Rieubon,Q927552,René Rieubon,male
Guy Hermier,Q1557506,Guy Hermier,male
Michel Serex,,,unknown
Jacques Garcia,Q1997633,Jacques Garcia,male
Marcel Bonniot,Q125760677,Marcel Bonniot,male
Claude Gerbet,Q16798475,Claude Gerbet,male
Jean Gallet,Q16798466,Jean Gallet,male
Maurice Legendre,Q9030662,Maurice Legendre,male
Marie Jacq,Q3292586,Marie Jacq,female
Jean Sergent,Q108334151,Jean Sergent,female
Roger Roucaute,Q3439428,Roger Roucaute,male
Pierre Baudis,Q3383897,Pierre Baudis,male
Chère Electrice,,,unknown
Michel Sainte-Marie,Q3310806,Michel Sainte-Marie,male
Guy Cabanel,Q3121610,Guy Cabanel,male
Gilbert Biessy,Q3105602,Gilbert Biessy,male
Louis Maisonnat,Q3262594,Louis Maisonnat,male
Jacques-Antoine Gau,Q3157869,Jacques-Antoine Gau,male
H. Maujouan Du Gasset,,,unknown
André Chêne,Q14919929,André Chène,male
Jean Narquin,Q3173675,Jean Narquin,male
Guy Poirier,Q84768391,Guy Poirier,male
Georges Bourgeois,Q1232204,Djo-Bourgeois,male
